,keyword,user_id,user_name,verified_company,blueVType,expireTime,blueVStatus,contact,lanv_status,contact_status
0,葡萄酒,3x8mvtun24f226s,红花园小酒铺,郑州莎果文化传播有限公司,10,2024-07-24 23:59:59,3,,1,0
1,葡萄酒,3x8e8jwjrd9tspy,张裕官方旗舰店,上海张裕果趣数字科技有限公司,10,2023-10-19 12:08:41,3,,1,0
2,葡萄酒,3xbgxi8hmzmzp5y,帝月酒庄专卖店,重庆鼎盛天下科技（集团）有限公司,10,2023-12-30 09:32:02,3,,1,0
3,葡萄酒,3x5dhz68rc4ea42,兴利臻酒汇-认臻精选,天津市南开区兴利臻酒汇酒业商行,10,2024-06-15 11:00:11,3,,1,0
4,葡萄酒,3xbjrqapsfaxpde,王朝葡萄酒专卖店,天津王朝酒业销售有限公司,10,2024-03-12 11:55:44,3,,1,0
5,葡萄酒,3xgbrpsw3vf8u6y,君旗酒业,湖南君旗酒业有限公司,10,2024-05-16 14:37:27,3,,1,0
6,葡萄酒,3x68racb8zhw44w,花姐红酒馆,玛莎诺娅官方账号,10,2024-01-10 16:03:27,3,,1,0
7,葡萄酒,3xdd34ndqjy3nma,佰威尔酒馆,龙口市新嘉佰威尔酒水经销部,10,2024-03-15 21:51:25,3,,1,0
8,葡萄酒,3xurptnxmazp5u9,亮仔与美酒,晋州市祥泰酒类经销处,10,2023-11-13 16:03:57,3,,1,0
9,葡萄酒,3x8g6wjz7achfnw,海岸酒叔,莱山区爆单百货商行,10,2024-03-22 09:00:56,3,,1,0
10,葡萄酒,3xak8c2buxn7ki4,酒哥老孟99,泰和酩庄（北京）国际贸易有限公司,10,2024-03-22 15:15:00,3,,1,0
11,葡萄酒,3xit8bvdcru4g7a,（灯闪闪）金禧酒业红酒,广州市金禧酒业有限公司,10,2023-11-18 14:18:55,3,,1,0
12,葡萄酒,3x83urza37cj5em,KIMO进口葡萄酒,石家庄蓝菲酒业商贸有限公司,10,2024-03-09 20:34:40,3,,1,0
13,葡萄酒,3xzb56uq4fd8bn4,红酒小胖的小店,大庆市萨尔图区柏图斯酒业商行,10,2023-12-01 15:57:21,3,,1,0
14,葡萄酒,3x47tssebknmvks,波尔多玛乐城堡酒庄,甘肃橡木树进出口有限责任公司,10,2023-11-17 15:42:58,3,,1,0
15,葡萄酒,3xq3cn5a3yqgiyk,加枫红酒类专营,深圳市加枫红贸易有限公司,10,2023-10-23 15:49:25,3,,1,0
16,葡萄酒,3x3yg9pzwcbaw4q,南山庄园,邢台市桥西区新南餐厅,10,2024-04-05 17:09:02,3,,1,0
17,葡萄酒,3xtaa79zgtcgz7s,就喝葡萄酒,河北益利葡萄酒有限公司,10,2023-11-21 10:34:20,3,,1,0
18,葡萄酒,3xizh3w44g5ajzm,月城香印葡萄酒,四川月城明珠农业有限责任公司,10,2024-06-13 16:03:49,3,,1,0
19,葡萄酒,3xyu3frccytzqag,苏瓦延葡萄酒,长春市苏瓦延现代农业有限公司,10,2024-04-17 20:03:16,3,,1,0
20,葡萄酒,3xfn9ga4ikrygag,长城葡萄酒旗舰店,中粮食品营销有限公司天津电子商务分公司,10,2023-12-30 12:11:04,3,,1,0
21,葡萄酒,3xu2ua3se2g7efq,玛莎诺娅红酒,烟台域桐葡萄酒有限公司,10,2024-01-10 16:46:40,3,,1,0
22,葡萄酒,3xnbdt2d3pc6uc4,大连洋酒葡萄酒啤酒清酒威士忌,大连久久回味贸易有限公司,10,2024-09-29 23:59:59,3,,1,0
23,葡萄酒,3xa5z5rdehkpfks,王朝·天阳酒庄葡萄酒,天津天阳葡萄酒销售有限公司,10,2024-05-09 18:56:44,3,,1,0
24,葡萄酒,3xgh3pr6xhhew39,红酒徐庄主【奥德曼酒庄】,德州奥德曼葡萄酒庄有限公司,10,2024-04-06 11:37:25,3,,1,0
25,葡萄酒,3x4h66ukm5snxhy,葡萄酒农村手艺人,镇原县三月味红葡萄酒坊,10,2023-12-05 10:09:03,3,,1,0
26,葡萄酒,3xt6863btpz34ac,鹦鸽山葡萄酒庄,扎赉特旗鹦鸽山葡萄酒有限公司,10,2024-03-20 21:22:25,3,,1,0
27,葡萄酒,3xv7ncii36cuwme,一粒葡萄2012,哈尔滨市阿城区一粒葡萄红酒坊,10,2023-12-13 15:56:07,3,,1,0
28,葡萄酒,3x8bc5hvtfsm4ag,红酒少庄主【燕玛酒庄】,抚宁区航旺葡萄酒经销店,10,2024-05-12 17:48:40,3,,1,0
29,葡萄酒,3xbmaewirpt66ua,拉图红酒哥（红色的浪漫）,烟台拉图葡萄酒有限公司,10,2024-03-04 14:13:53,3,,1,0
30,白兰地,3x8mvtun24f226s,红花园小酒铺,郑州莎果文化传播有限公司,10,2024-07-24 23:59:59,3,,1,0
31,张裕,3x8e8jwjrd9tspy,张裕官方旗舰店,上海张裕果趣数字科技有限公司,10,2023-10-19 12:08:41,3,,1,0
32,产区,3xpb36he5v6ry5a,勃艮第葡萄酒产区馆,勃艮第夜丘葡萄酒实业（广州）有限公司,10,2024-04-27 20:05:14,3,,1,0
33,张裕,3xbtuauzq9q529m,张裕乐百意华莱尔店,烟台华莱尔葡萄酒经销有限公司,10,2024-03-16 12:07:36,3,,1,0
34,产区,3xtdbirmzvydn7k,聊城产区菠菜代收,聊城市东昌府区成旺种植专业合作社,10,2024-02-02 08:47:44,3,,1,0
35,产区,3xivf47fxvxa46k,建业秋榜兰花产区种植销售,景洪景讷建业种植基地,10,2023-11-02 17:30:24,3,,1,0
36,产区,3xeptgbixmty5eq,小孔辣椒收购～沈阳产区,芊荟小百货 关联账号,10,2024-02-17 20:06:56,3,,1,0
37,佳美娜,3xnqeczkt76b4kg,小美娜（优选）,清河县坤灿贸易有限公司,10,2023-09-26 14:05:59,3,,1,0
38,佳美娜,3x6teenm9fq2azw,美娜 传统糕点,兰山区美娜蛋糕烘焙店,10,2024-03-25 13:50:32,3,,1,0
39,白兰地,3xbgxi8hmzmzp5y,帝月酒庄专卖店,重庆鼎盛天下科技（集团）有限公司,10,2023-12-30 09:32:02,3,,1,0
40,佳美娜,3xvtkmtpmsw8fqq,美娜海鲜,宽城区农贸水产大市场新南北海鲜精品行,10,2024-07-18 23:59:59,3,,1,0
41,波特酒,3xpbsza6k2uanvg,法美特酒具,东莞市爱淘酒贸易有限公司,10,2024-03-06 09:31:07,3,,1,0
42,蒙特斯,3x3bzqw6gp8ab2m,斯蒙特新材料,山东斯蒙特新材料有限公司,10,2024-02-06 18:14:57,3,,1,0
43,蒙特斯,3x47v4wndpi2j56,纽蒙特享有专卖店,上海享有网络科技有限公司,10,2023-09-17 13:58:47,3,,1,0
44,蒙特斯,3xiiegrwyfytb6y,阿美奶制品，蒙特产牛肉干,科尔沁区阿美奶制品店,10,2023-11-26 08:53:19,3,,1,0
45,蒙特斯,3xe7yks5rqkkrge,霞姐明哥内蒙特产店,锡林浩特市蒙悦明轩特产店,10,2024-04-14 20:46:20,3,,1,0
46,蒙特斯,3xgszwbus97kv64,蒙特劳务公司呼市信息部,内蒙古美奥人力资源有限公司 关联账号,10,2023-12-05 19:37:44,3,,1,0
47,蒙特斯,3xv7ac5kwa9wdcc,赤峰亿鑫内蒙特产,赤峰亿鑫惠民商贸有限公司,10,2024-07-01 23:59:59,3,,1,0
48,上海红酒,3x39qh2ea8rd6wg,天海甄选红酒馆,天海甄选（广州）科技有限公司,10,2023-09-07 15:38:33,3,,1,0
49,上海红酒,3xgwug94trmx3v6,上海红酒交易中心,上海红酒交易中心股份有限公司,10,2024-02-02 13:10:37,3,,1,0
50,上海红酒,3x68racb8zhw44w,花姐红酒馆,玛莎诺娅官方账号,10,2024-01-10 16:03:27,3,,1,0
51,蒙特斯,3xqnzct9tn533kw,特斯拉,特斯拉汽车（北京）有限公司,10,2023-12-16 14:09:36,3,,1,0
52,蒙特斯,3xzdbf67p5k7nxe,迈特斯机械配件,山东迈特斯重工机械有限公司,10,2023-09-09 16:43:05,3,,1,0
53,蒙特斯,3xpgj89i48mm7pq,塔娜特产店,呼和浩特市玉泉区鄂尔多斯大街漠宝内蒙特产店,10,2024-04-25 20:27:11,3,,1,0
54,蒙特斯,3xkmzg9bzfzy22k,罗曼特斯房车,江苏罗曼特斯房车有限公司,10,2023-10-30 11:24:37,3,,1,0
55,蒙特斯,3xtr96kqivbskcm,迈特斯机械配件倩倩,济宁迈特斯经贸有限公司,10,2024-02-29 17:01:49,3,,1,0
56,蒙特斯,3xps8a234smnb7k,作牛肉干的牛牛哥,科尔沁左翼后旗大青沟鑫牛哥内蒙特产店,10,2023-10-30 08:45:14,3,,1,0
57,蒙特斯,3xmggpv4ghhuveq,乌兰浩特市雅斯蒙古特产店,乌兰浩特市雅斯蒙古特产店,10,2024-06-07 20:33:48,3,,1,0
58,蒙特斯,3xskmwuucf3yg79,柴油发电机组专家-冯杰,潍坊特斯拉动力科技有限公司,10,2024-07-02 23:59:59,3,,1,0
